name, description, main_ingredient, category, page
stuffed mushrooms, white wine/oil,mussels,seafood,12
sizzling prawns,oil,prawns,seafood,13
grilled prawns,tomato,prawns,seafood,14
prawns in overcoats,beer, prawns,seaafood,14
tuna corquettes,milk/eggs,tuna,seafood,16
stuffed squid,almonds/eggs,squid,seafood,17
green mussel salas,onion,mussels,seafood,18
tuna salad,peppers/tomato/egg,tuna,seafood,19
marinated sardines,onion,sardines,seafood,20
chees fritters,breadcrumbs/egg/cheese,cheese,starter,21
red pepper and onion tart,milk/yeast/ionion/peppers,onion,starter,22
empanada,milk/egg/tomato,tuna,seafood,24
kidneys in sherry,ham/sherry/ham,kidneys,starter,26
spicy pork kebabs,spices,pork,starter,27
spicy olives,herbs,olives,starter,28
mushroom wih garlic,sherry,mushroom,starter,29
anchovy stuffed mushroom,bacon/anchovy/egg,mushroom,starter,30
prawn-stuffed eggs,mayonaise/prawns/egg,egg,starter,31
cauliflower fritters,flour/cheese/beer,cualiflower,starter,32
stuffed peppers,chicken/bacon/milk/egg,peppers,starter,33
potatoes with allioli,allioli ,potatoes,starter,34
potatoes with red sauce,cumin paprika,potatooes, starter,35
spanish vegetable salad,oil,vegetables,salad,36
roast pepper salad,anchovy/capers,peppers,salad,37
leek salad,peppers,leek,salad,38
vegetable salad,carrot/beans/onion/mayo,vegetables,starter,39
white soup with grapes,almonds/bread, grapes,starter,40
gazpacho, onion/peppers/bread,tomato,starter,41
Lentil and chorizo potage,lentils/onion/carrot/pork, chorizo,starter,42
spicy chickpea potage,onion/tomato/paprika/chickpeas,chorizo,legume,43
scramble eggs & prawns,mushroom,eggs,starter,44
Huevos flamenca,ham/tomato/peas/beans,eggs,starter,45
artichoke and ham tortilla, ham,eggs,starter,46
tortilla with red pepper,onion/pepper,potato,starter,47
monkfish with paprika,white wine,fish,seafood,48
monkfish & almond sauce,almonds/saffron,fish,seafood,49
monkfish and artichoke,wine/olives/tomato,fish,seafood,50
monkfish & garlic, peppers,fish,seafood,52
sole and green dressing,bread/parsley/anchovy/capers,fish,seafood,53
trout with ham,parsley,fish,seafood,54
mullet with anchovy sauce,anchovy/tomato,fish,seafood,55
fish with white sauce,anchovy/lemon/wine,fish,seafood,56
hake with pea and potato,peas/potato,fish,seafood,57
fish with parsley crust,breadcrumbs,fish,seafood,58
fish with green sauce,parsley/almonds,fish,seafood,59
fish with aubergine,aubergine/chorizo/pepper/wine,fish,seafood,60
skate with red pepper,pepper/wineonion/beans,fish,seafood,61
zarzuela,mussls/squid/prawn/fish/wine/saffron,fish,seafood,62
